distance_km,walking,bike,e-bike,e-scooter,bus (city),bus (coach),tram/light rail,metro/urban rail,intercity rail,brt (rapid bus),carpool (3+),car (2 pax),car (solo/taxi),rideshare pooled,ferry,plane (domestic),plane (intl)
0,8.78,8.73,9.32,9.27,6.38,0.0,6.31,3.0,0.0,0.0,6.75,6.14,3.79,5.73,0.0,0.0,0.0
5,2.94,9.36,9.95,9.73,9.37,0.0,9.29,9.15,0.0,9.59,8.47,7.53,4.28,7.97,0.0,0.0,0.0
10,2.94,9.31,9.85,9.63,9.38,0.0,9.3,9.2,0.0,9.6,8.46,7.53,4.28,7.98,4.3,0.0,0.0
15,2.93,9.29,9.82,9.6,9.39,0.0,9.3,9.21,0.0,9.6,8.45,7.53,4.28,7.99,4.32,0.0,0.0
20,2.92,9.12,9.65,9.44,9.25,9.63,9.17,9.1,0.0,9.46,8.34,7.44,4.26,7.89,4.31,0.0,0.0
25,2.91,9.11,9.63,9.42,9.24,9.63,9.16,9.09,0.0,9.45,8.33,7.43,4.26,7.88,4.32,0.0,0.0
30,0.0,3.01,7.99,6.42,8.02,9.63,8.29,8.59,0.0,8.96,6.93,6.29,3.86,6.57,4.11,0.0,0.0
35,0.0,3.0,7.94,0.0,8.01,9.63,8.28,8.58,0.0,8.95,6.92,6.29,3.86,6.56,4.13,0.0,0.0
40,0.0,2.99,7.91,0.0,8.01,9.63,8.27,8.58,0.0,8.94,6.91,6.28,3.86,6.56,4.15,0.0,0.0
45,0.0,2.99,7.88,0.0,8.0,9.63,0.0,8.58,0.0,8.93,6.9,6.27,3.86,6.56,4.16,0.0,0.0
50,0.0,2.98,7.72,0.0,7.87,9.52,0.0,8.47,9.1,8.8,6.79,6.18,3.83,6.46,4.14,0.0,0.0
55,0.0,0.0,3.71,0.0,5.46,9.43,0.0,7.71,9.1,8.04,3.03,2.9,2.25,2.8,3.85,0.0,0.0
60,0.0,0.0,3.64,0.0,5.44,9.43,0.0,7.7,9.1,8.02,3.0,2.88,2.24,2.79,3.87,0.0,0.0
65,0.0,0.0,0.0,0.0,5.42,9.42,0.0,0.0,9.1,8.0,2.98,2.86,2.23,2.79,3.88,0.0,0.0
70,0.0,0.0,0.0,0.0,5.4,9.41,0.0,0.0,9.1,7.99,2.96,2.84,2.22,2.78,3.89,0.0,0.0
75,0.0,0.0,0.0,0.0,5.39,9.41,0.0,0.0,9.1,7.97,2.95,2.83,2.21,2.77,3.9,0.0,0.0
80,0.0,0.0,0.0,0.0,5.37,9.4,0.0,0.0,9.1,7.96,2.93,2.81,2.2,2.77,3.9,0.0,0.0
85,0.0,0.0,0.0,0.0,5.36,9.4,0.0,0.0,9.11,7.94,2.92,2.8,2.2,2.76,3.91,0.0,0.0
90,0.0,0.0,0.0,0.0,5.34,9.39,0.0,0.0,9.11,7.93,2.91,2.79,2.19,2.75,3.92,0.0,0.0
95,0.0,0.0,0.0,0.0,5.33,9.39,0.0,0.0,9.11,7.92,2.89,2.78,2.18,2.75,3.92,0.0,0.0
100,0.0,0.0,0.0,0.0,5.32,9.39,0.0,0.0,9.11,7.91,2.88,2.77,2.18,2.74,3.93,0.0,0.0
105,0.0,0.0,0.0,0.0,5.3,9.38,0.0,0.0,9.11,7.9,2.87,2.76,2.17,2.73,3.93,0.0,0.0
110,0.0,0.0,0.0,0.0,5.29,9.38,0.0,0.0,9.11,7.89,2.86,2.75,2.16,2.73,3.94,0.0,0.0
115,0.0,0.0,0.0,0.0,5.28,9.38,0.0,0.0,9.11,7.88,2.85,2.74,2.16,2.72,3.94,0.0,0.0
120,0.0,0.0,0.0,0.0,5.27,9.38,0.0,0.0,9.11,7.87,2.84,2.73,2.15,2.71,3.95,0.0,0.0
125,0.0,0.0,0.0,0.0,5.26,9.37,0.0,0.0,9.11,7.86,2.83,2.72,2.15,2.71,3.95,0.0,0.0
130,0.0,0.0,0.0,0.0,5.25,9.37,0.0,0.0,9.12,7.85,2.82,2.71,2.14,2.7,3.95,0.0,0.0
135,0.0,0.0,0.0,0.0,5.24,9.37,0.0,0.0,9.12,7.85,2.81,2.7,2.14,2.69,3.96,0.0,0.0
140,0.0,0.0,0.0,0.0,5.22,9.37,0.0,0.0,9.12,7.84,2.8,2.69,2.13,2.69,3.96,0.0,0.0
145,0.0,0.0,0.0,0.0,5.21,9.37,0.0,0.0,9.12,7.83,2.79,2.69,2.13,2.68,3.96,0.0,0.0
150,0.0,0.0,0.0,0.0,5.2,9.37,0.0,0.0,9.12,7.82,2.78,2.68,2.13,2.68,3.97,0.0,0.0
155,0.0,0.0,0.0,0.0,5.19,9.36,0.0,0.0,9.12,7.82,2.77,2.67,2.12,2.67,3.97,0.0,0.0
160,0.0,0.0,0.0,0.0,5.18,9.36,0.0,0.0,9.12,7.81,2.77,2.66,2.12,2.66,3.97,0.0,0.0
165,0.0,0.0,0.0,0.0,5.17,9.36,0.0,0.0,9.12,7.8,2.76,2.65,2.11,2.66,3.97,0.0,0.0
170,0.0,0.0,0.0,0.0,5.17,9.36,0.0,0.0,9.12,7.8,2.75,2.65,2.11,2.65,3.98,0.0,0.0
175,0.0,0.0,0.0,0.0,5.16,9.36,0.0,0.0,9.13,7.79,2.74,2.64,2.11,2.64,3.98,0.0,0.0
180,0.0,0.0,0.0,0.0,5.15,9.36,0.0,0.0,9.13,7.78,2.73,2.63,2.1,2.64,3.98,0.0,0.0
185,0.0,0.0,0.0,0.0,5.14,9.35,0.0,0.0,9.13,7.78,2.73,2.63,2.1,2.63,3.98,0.0,0.0
190,0.0,0.0,0.0,0.0,5.13,9.35,0.0,0.0,9.13,7.77,2.72,2.62,2.09,2.63,3.99,0.0,0.0
195,0.0,0.0,0.0,0.0,5.12,9.35,0.0,0.0,9.13,7.76,2.71,2.61,2.09,2.62,3.99,0.0,0.0
200,0.0,0.0,0.0,0.0,5.11,9.35,0.0,0.0,9.13,7.76,2.7,2.61,2.09,2.61,3.99,0.0,0.0
205,0.0,0.0,0.0,0.0,5.1,9.35,0.0,0.0,9.13,7.75,2.7,2.6,2.08,2.61,3.99,0.0,0.0
210,0.0,0.0,0.0,0.0,5.09,9.35,0.0,0.0,9.13,7.74,2.69,2.59,2.08,2.6,3.99,0.0,0.0
215,0.0,0.0,0.0,0.0,5.08,9.35,0.0,0.0,9.13,7.74,2.68,2.59,2.08,2.6,4.0,0.0,0.0
220,0.0,0.0,0.0,0.0,5.07,9.35,0.0,0.0,9.14,7.73,2.67,2.58,2.07,2.59,4.0,0.0,0.0
225,0.0,0.0,0.0,0.0,5.07,9.35,0.0,0.0,9.14,7.73,2.67,2.57,2.07,2.58,4.0,0.0,0.0
230,0.0,0.0,0.0,0.0,5.06,9.34,0.0,0.0,9.14,7.72,2.66,2.57,2.06,2.58,4.0,0.0,0.0
235,0.0,0.0,0.0,0.0,5.05,9.34,0.0,0.0,9.14,7.71,2.65,2.56,2.06,2.57,4.0,0.0,0.0
240,0.0,0.0,0.0,0.0,5.04,9.34,0.0,0.0,9.14,7.71,2.65,2.55,2.06,2.57,4.01,0.0,0.0
